n,N,classical_steps_mean,classical_time_mean_s,binary_total_mean_s,binary_sort_mean_s,binary_search_mean_s,quantum_iters,quantum_time_s,quantum_success,
1,2,2,5.71E-06,2.20E-06,9.85E-07,1.22E-06,1,0.0028482,0.497558594,
2,4,3,1.32E-06,2.29E-06,1.30E-06,9.95E-07,1,0.00305175,0,
3,8,5,1.57E-06,2.49E-06,9.40E-07,1.55E-06,2,0.0038113,0.009277344,
4,16,9,1.33E-06,1.99E-06,7.35E-07,1.25E-06,3,0.00461535,0.001953125,
5,32,17,2.46E-06,2.91E-06,1.09E-06,1.82E-06,4,0.00515635,0,
6,64,33,3.12E-06,2.79E-06,1.16E-06,1.63E-06,6,0.0072175,0,
7,128,65,9.33E-06,5.41E-06,2.57E-06,2.84E-06,9,0.0102695,0,
8,256,129,1.36E-05,6.27E-06,3.53E-06,2.74E-06,13,0.0140283,0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
